element,query,query,display,display,occurence,vocabulary
BundleID,,,page,,1-u,
BundleDisplayTitle,searchable,,page,list,1-1,
BundleDescription,searchable,,page,list (snippet),1-1,
BundleKeyword,searchable,facet,page,list,0-u,
ObjectLangugeDisplayName,searchable,facet,page,list,1-u,
ObjectLanguageName,searchable,facet,page,,1-1,
ObjectLanguageAlternativeName,searchable,,,,0-u,
ObjectLanguageISO639-3Code,,,page,,1-1,
ObjectLanguageGlottologCode,searchable,,,,1-1,
ObjectLanguageLanguageFamily,searchable,facet,,,1-u,
BundleRecordingDate,searchable,facet?,page,,1-1,
BundleGeoLocation,map,map,map,map,1-1,
BundleLocationDisplayName,searchable,facet,page,,1-u,
BundleLocationName,searchable,,,,0-u,
BundleRegionDisplayName,searchable,,page,,0-u,
BundleRegionName,searchable,facet,,,1-1,
BundleCountryDisplayName,searchable,,page,,0-1,
BundleCountryName,searchable,facet,,,1-1,
BundleCountryCode,,,,,1-1,
CreatorFamilyName,searchable,,page,,1-1,
CreatorGivenName,searchable,,page,,1-1,
CreatorNameIdentifier,searchable,,page,,0-u,
CreatorAffiliation,searchable,,page,,0-u,
BundlePublicationYear,searchable,facet,page,,1-1,
BundleDataProvider,,,citation,,1-1,
ContributorFamilyName,searchable,,page,,1-1,
ContributorGivenName,searchable,,page,,1-1,
ContributorNameIdentifier,searchable,,page,,0-u,
ContributorAffiliation,searchable,,page,,0-u,
ProjectDisplayName,searchable,facet,page,,1-1,
ProjectDescription,searchable,,page,,1-1,
FunderName,searchable,,page,,1-1,
FunderIdentifier,searchable,,page,,0-u,
GrantIdentifier,searchable,,page,,0-1,
GrantURI,searchable,,page,,0-1,
SegmentationUnit,searchable,facet,page,list,1-u,
TranscriptionType,searchable,facet,page,list,1-u,
TranslationLanguageName,searchable,facet,page,list,1-1,
TranslationLanguageCode,,,,,1-1,
AnnotationType,searchable,facet,page,list,1-u,
BundleIsIdenticalTo,,,page,,0-u,
BundleIsDerivedFrom,,,page,,0-1,
LicenseName,searchable,facet,page,list,1-1,
LicenseIdentifier,,,(page),(list),1-1,
Access,searchable,facet,page,list,1-1,
AvailabilityDate,,,page,,1-1,
RightsHolderName,searchable,,page,,1-1,
RightsHolderIdentifier,searchable,,page,,0-u,
BundleIsPartOfCollection,,,page,,1-1,
AdditionMD: FileName,,,page,,1-1,
AdditionMD: FilePID,,,page,,1-1,
AdditionMD: MimeType,searchable,facet,page,list,1-1,
AdditionMD: IsMetadataOf,,,page,,1-1,
AdditionMD: FileDescription,searchable,,page,,0-1,
MediaR: FileName,,,page,,1-1,
MediaR: FilePID,,,page,,1-1,
MediaR: MimeType,searchable,facet,page,list,1-1,
MediaR: FileLength,,facet,page,list,1-1,
MediaR: FileDescription,searchable,,page,,0-1,
WrittenR: FileName,,,page,,1-1,
WrittenR: FilePID,,,page,,1-1,
WrittenR: MimeType,searchable,facet,page,list,1-1,
WrittenR: IsAnnotationOf,,,page,,0-u,
WrittenR: FileDescription,searchable,,page,,0-1,
OtherR: FileName,,,page,,1-1,
OtherR: FilePID,,,page,,1-1,
OtherR: MimeType,searchable,facet,page,list,1-1,
OtherR: FileDescription,searchable,,page,,0-1,
